"","TimeStep","X10Trial_Prey","X10Trial_Predator","X20Trial_Prey","X20Trial_Predator","X30Trial_Prey","X30Trial_Predator","X40Trial_Prey","X40Trial_Predatory","X50Trial_Prey","X50Trial_Predator","X60Trial_Prey","X60Trial_Predator","X70Trial_Prey","X70Trial_Predator","X80Trial_Prey","X80Trial_Predator","X90Trial_Prey","X90Trial_Predator","X100Trial_Prey","X100Trial_Predator"
"1",1,10,10,20,10,30,10,40,10,50,10,60,10,70,10,80,10,90,10,100,10
"2",2,11,9.6,22,9.7,33,9.8,44,9.9,55,10,66,10.1,77,10.2,88,10.3,99,10.4,110,10.5
"3",3,12.144,9.2256,24.266,9.4284,36.366,9.6334,48.444,9.8406,60.5,10.05,72.534,10.2616,84.546,10.4754,96.536,10.6914,108.504,10.9096,120.45,11.13
"4",4,13.452443136,8.8763556864,26.831304456,9.1857695544,40.135917756,9.5020582244,53.365619736,9.8252880264,66.51975,10.155525,79.597651056,10.4928348944,92.598668316,10.8372831684,105.522150096,11.1889349904,118.367447616,11.5478552384,131.133915,11.9141085
"5",5,14.9488450619379,8.55194657220621,29.7329035514324,8.97294725625676,44.3493630331276,9.40832914058724,58.7954178370646,9.85835620969354,73.0682701588125,10.3232917341188,87.1651311620733,10.8033981601927,101.083222083628,11.2989369995372,114.819775340486,11.8101687183514,128.372035639115,12.3373526264885,141.737261086602,12.8807467663398
"6",6,16.6601968314667,8.25219096788178,33.0115665082951,8.7910916687863,49.0467015938425,9.35516608814894,64.758239679122,9.94506457174441,80.1388734970067,10.5614322167696,95.181361218195,11.2049078698123,109.878536920022,11.8761231075935,124.22332121884,12.5757012014082,138.208732056339,13.304256066224,151.827895629812,14.0623911954339
"7",7,18.6174049396024,7.97706454530345,36.7118027369076,8.64174479265164,54.2676415177483,9.34624782322777,71.2696388633328,10.0918362183186,87.7028353927389,10.8797418862981,103.552649628102,11.7111608596949,118.804933990582,12.5872479835583,133.446031763661,13.5091115112324,147.46283484895,14.4778076247784,160.842842128515,15.4943348983881
"8",8,20.8557635188303,7.72672355890754,40.8816229829838,8.52691158314958,60.0491815572283,9.38613425847334,78.3311514085247,10.3064859301501,95.7015603535919,11.2899390037527,112.135962181299,12.3383245539525,127.611649130601,13.4533127501901,142.107864878126,14.6363932594976,155.606016271265,15.8888557982871,168.08988193474,17.2117710154165
"9",9,23.4154490293969,7.50153410028211,45.572007734065,8.44915998854366,66.4227210665982,9.48045722575726,85.9241925913854,10.598480543527,104.03722463475,11.805906832521,120.727455661933,13.1049782218175,135.965984693506,14.4974465390021,149.729971897513,15.9845201921465,162.003203986717,17.5668145622528,172.776612742997,19.2443070225148
"10",10,26.3420209416019,7.30210918463544,50.8359574374354,8.41174717346075,73.4100876210149,9.63615213035968,94.0023722756819,10.9792223997487,112.562131750181,12.4438652720469,129.051640022069,14.0318599879517,143.447585690038,15.7437338062689,155.742348685363,17.5786559417045,165.945042354806,19.5343540770656,174.082273472232,21.6070578533254
"11",11,29.6869019993269,7.1293560384632,56.7269567120773,8.41877903607223,81.0181974230265,9.86173529606083,102.482117217631,11.46233423108,121.067478077881,13.2223800106782,136.75362258643,15.1411015325593,149.553096785487,17.2149477202113,159.513406791506,19.4374643077122,166.717758678843,21.7992655879047,171.284670625149,24.2881107148121
