Reference,Placement,Season,Station,Species,DateTime
2911,Random,W,4,Serval,23/12/2013 08:07
3495,Random,W,5,Serval,31/12/2013 14:56
3508,Random,W,13,Lion,31/12/2013 21:18
3556,Random,W,32,Cheetah,1/1/14 20:30
3608,Random,W,19,Leopard,2/1/14 19:02
3722,Random,W,19,Leopard,5/1/14 0:05
3734,Random,W,46,Serval,5/1/14 8:10
3751,Random,W,27,Serval,5/1/14 13:44
3757,Random,W,4,Serval,5/1/14 17:03
3814,Random,W,11,Lion,7/1/14 1:28
3822,Random,W,23,Leopard,7/1/14 8:11
3840,Random,W,23,Leopard,7/1/14 22:51
3952,Random,W,9,Serval,10/1/14 15:29
3967,Random,W,17,Lion,10/1/14 17:21
4136,Random,W,15,Lion,14/01/2014 01:33
4140,Random,W,15,Lion,14/01/2014 03:28
4330,Random,W,15,Serval,16/01/2014 20:24
4348,Random,W,22,Lion,17/01/2014 05:15
4484,Random,W,27,Serval,19/01/2014 10:40
4566,Random,W,26,Serval,21/01/2014 04:23
4605,Random,W,23,Leopard,21/01/2014 22:01
4719,Random,W,22,Leopard,24/01/2014 04:58
4748,Random,W,27,Serval,25/01/2014 10:35
4751,Random,W,38,Cheetah,25/01/2014 11:32
4784,Random,W,27,Serval,26/01/2014 16:14
4844,Random,W,23,Leopard,28/01/2014 12:17
4846,Random,W,23,Leopard,28/01/2014 14:18
4869,Random,W,23,Lion,29/01/2014 08:52
4875,Random,W,9,Serval,29/01/2014 11:44
4917,Random,W,27,Serval,30/01/2014 16:10
5013,Random,W,23,Leopard,1/2/14 14:24
5051,Random,W,46,Serval,2/2/14 15:58
5068,Random,W,46,Serval,3/2/14 6:03
5092,Random,W,22,Serval,3/2/14 7:52
5107,Random,W,22,Serval,3/2/14 17:08
5138,Random,W,20,Lion,4/2/14 10:23
5507,Random,W,23,Leopard,11/2/14 18:17
10341,Trail,W,24,Lion,21/12/2013 23:54
10356,Trail,W,19,Leopard,22/12/2013 06:20
10664,Trail,W,26,Serval,26/12/2013 14:39
10766,Trail,W,32,Lion,28/12/2013 02:41
10819,Trail,W,25,Leopard,28/12/2013 19:26
10861,Trail,W,19,Leopard,29/12/2013 11:35
11025,Trail,W,3,Serval,31/12/2013 19:52
11076,Trail,W,25,Leopard,1/1/14 9:28
11111,Trail,W,25,Leopard,1/1/14 19:32
11119,Trail,W,22,Leopard,1/1/14 21:42
11124,Trail,W,55,Lion,1/1/14 22:27
11137,Trail,W,25,Leopard,2/1/14 3:38
11461,Trail,W,4,Lion,6/1/14 0:26
11505,Trail,W,32,Serval,6/1/14 20:55
11565,Trail,W,19,Leopard,7/1/14 17:52
11589,Trail,W,8,Lion,8/1/14 3:43
11594,Trail,W,A,Caracal,8/1/14 5:31
11638,Trail,W,55,Lion,8/1/14 21:24
11734,Trail,W,24,Leopard,10/1/14 7:32
11780,Trail,W,17,Lion,10/1/14 17:22
11807,Trail,W,24,Leopard,11/1/14 6:33
11958,Trail,W,15,Lion,13/01/2014 03:53
11963,Trail,W,28,Serval,13/01/2014 06:25
11969,Trail,W,15,Lion,13/01/2014 08:34
11976,Trail,W,15,Lion,13/01/2014 10:23
11983,Trail,W,15,Lion,13/01/2014 13:34
11992,Trail,W,15,Lion,13/01/2014 15:47
12006,Trail,W,15,Lion,13/01/2014 19:46
12020,Trail,W,19,Leopard,13/01/2014 22:27
12036,Trail,W,1,Wildcat,14/01/2014 02:36
12116,Trail,W,27,Serval,15/01/2014 09:52
12124,Trail,W,A,Caracal,15/01/2014 11:30
12223,Trail,W,24,Lion,16/01/2014 22:23
12234,Trail,W,24,Lion,17/01/2014 01:29
